outlet,tier,country,language,default_eav,default_reach,clip_count,first_seen,last_seen
Forbes Middle East (Instagram),T1-Global,Instagram,,,,1,2023-02-24,2023-02-24
GDN Online (Bahrain),T3,Bahrain,,,,1,2022-08-09,2022-08-09
Gazetatema (Albanian),T3,Albanian,,,,1,2023-06-26,2023-06-26
Gazette Duvar (Turkey),T3,Turkey,,,,1,2023-01-22,2023-01-22
Global Business Outlook,Other,,,,,1,2020-03-25,2020-03-25
Global Village Space,T3,,,,,1,2022-07-30,2022-07-30
GlobalNewsWire,T3,,,,,1,2025-02-18,2025-02-18
Greatandhra,T3,,,,,1,2026-03-08,2026-03-08
Gulf -Times,T3,,,,,1,2024-01-27,2024-01-27
Gulf Business Daily,T1-Local,,,1000,100000,1,2026-03-12,2026-03-12
Gulf Daily News - Bahrain,T3,,,,,1,2024-01-15,2024-01-15
Gulf News (online + print),T3,,,,,1,2024-03-19,2024-03-19
Gulf Today,T2,,,,,1,2023-06-21,2023-06-21
Haberler (Turkey),T3,Turkey,,,,1,2022-09-01,2022-09-01
Harber Global (Turkey),T3,Turkey,,,,1,2023-04-03,2023-04-03
Hot News (Romania),T3,Romania,,,,1,2022-11-14,2022-11-14
House Fun (China),T3,China,,,,1,2023-03-03,2023-03-03
IG (Ishradgul News),T3,Ishradgul News,,,,1,2024-01-26,2024-01-26
INSC Digital Magazine,T3,,,,,1,2023-12-10,2023-12-10
Il Matinno (Italy),T3,Italy,,,,1,2023-01-16,2023-01-16
India news,T3,,,,,1,2026-03-08,2026-03-08
Industrial Real Estate News,T3,,,,,1,2021-10-20,2021-10-20
Info (Israel),T3,Israel,,,,1,2022-08-27,2022-08-27
Info Nasional,T2,,,,,1,2026-04-23,2026-04-23
Interia (Poland),T3,Poland,,,,1,2023-01-20,2023-01-20
"International Business Times, Singapore Edition",T3,,,,,1,2026-03-06,2026-03-06
International Investment,T3,,,,,1,2022-05-06,2022-05-06
Investing.com,T3,,,,,1,2024-01-26,2024-01-26
Investing.com (Russia),T3,Russia,,,,1,2022-12-07,2022-12-07
Investor Bg,T3,,,,,1,2022-07-30,2022-07-30
Investor.bg,T3,,,,,1,2023-12-19,2023-12-19
Irytas (Lithuania),T3,Lithuania,,,,1,2023-03-03,2023-03-03
Jobx News,T3,,,,,1,2024-11-09,2024-11-09
Jordan News,T3,,,,,1,2023-04-03,2023-04-03
Jordan Times,T3,,,,,1,2023-02-21,2023-02-21
Kalgoorlie Miner,T3,,,,,1,2022-07-08,2022-07-08
Kaz Inform (Russia),T3,Russia,,,,1,2023-01-18,2023-01-18
Khaleej TImes,T2,,,,,1,2022-08-14,2022-08-14
Kumparan (Indonasia),T3,Indonasia,,,,1,2023-01-16,2023-01-16
La Republica (Spain),T3,Spain,,,,1,2023-03-01,2023-03-01
Latest LY,T3,,,,,1,2023-01-15,2023-01-15
Le Monde (France),T3,France,,,,1,2023-05-25,2023-05-25
Leadership News,T3,,,,,1,2022-05-19,2022-05-19
Logicno (Croatia),T3,Croatia,,,,1,2023-09-02,2023-09-02
Lovin Dubai (Insta),T2,Insta,,,,1,2022-07-30,2022-07-30
Luzernerzeitung (German),T3,German,,,,1,2023-06-28,2023-06-28
MBN,T3,,,,,1,2025-10-16,2025-10-16
MEA Business,T3,,,,,1,2024-05-24,2024-05-24
MEED,T3,,,,,1,2025-03-13,2025-03-13
MENA FM,T2,,,,,1,2026-04-23,2026-04-23
MSN.com,T3,,,,,1,2024-04-07,2024-04-07
Manager (Bulgaria),T3,Bulgaria,,,,1,2023-01-16,2023-01-16
Market Screener (Netherlands),T3,Netherlands,,,,1,2023-01-16,2023-01-16
Marketers Media Room,T3,,,,,1,2025-06-25,2025-06-25
Markets Insider,T3,,,,,1,2025-01-11,2025-01-11
Mechanical Electrical Plumbing,T2,,,,,1,,
MediaFax (Romania),T3,Romania,,,,1,2022-08-23,2022-08-23
Medium Value Strat,T3,,,,,1,2021-11-09,2021-11-09
MenaFN,T3,,,,,1,2024-05-12,2024-05-12
MenaFn,T3,,,,,1,2024-03-17,2024-03-17
Menafn,T3,,,,,1,2024-02-18,2024-02-18
Mid East Info,T3,,,,,1,2025-06-16,2025-06-16
Mid-eastinfo,T3,,,,,1,2026-03-12,2026-03-12
Mirchi 9 (India),T3,India,,,,1,2022-08-01,2022-08-01
Mirror,T2,,,,,1,2022-05-05,2022-05-05
Money & Banking (Thailand),T3,Thailand,,,,1,2022-07-30,2022-07-30
Msk1 (Russia),T3,Russia,,,,1,2023-11-21,2023-11-21
NDTV,T3,,,,,1,2022-10-19,2022-10-19
NPR,T3,,,,,1,2023-02-21,2023-02-21
Nabd-alhadath,T3,,,,,1,2025-06-16,2025-06-16
Nasdaq,T2,,,,,1,2022-10-20,2022-10-20
Navbharattimes (The Times Of India),T3,The Times Of India,,,,1,2023-11-14,2023-11-14
News Arab,T2,,,,,1,2023-08-22,2023-08-22
News Karnataka,T2,,,,,1,2026-04-23,2026-04-23
News Week (US),T3,,,,,1,2022-08-16,2022-08-16
News.ESEuro,T3,,,,,1,2023-12-24,2023-12-24
News18,T3,,,,,1,2026-03-06,2026-03-06
News24,T3,,,,,1,2023-06-25,2023-06-25
NewsWire,T3,,,,,1,2022-11-04,2022-11-04
Noticia Del Mundo (Spain),T3,Spain,,,,1,2022-08-09,2022-08-09
OT (Greece),T3,Greece,,,,1,2023-06-22,2023-06-22
Osul Misr,T3,,,,,1,2024-03-28,2024-03-28
PR Newswire,T3,,,500,100000,1,2025-09-11,2025-09-11
PR.com,T3,,,,,1,2021-04-22,2021-04-22
Panorama,T3,,,,,1,2023-06-11,2023-06-11
Pi,T3,,,,,1,2024-01-26,2024-01-26
Play Tech (Romania),T3,Romania,,,,1,2022-08-27,2022-08-27
PressReader,T3,,,,,1,2024-02-23,2024-02-23
PressReader.com,T3,,,,,1,2025-02-05,2025-02-05
Pressbee,T3,,,,,1,2025-09-11,2025-09-11
Prime Resi,T2,,,,,1,2023-10-06,2023-10-06
Pro Pakistani,T3,,,,,1,2025-03-12,2025-03-12
Profit (Romania),T3,Romania,,,,1,2023-01-16,2023-01-16
Prop News Time,T3,,,,,1,2024-11-01,2024-11-01
Property Finder,T2,,,,,1,2021-11-04,2021-11-04
Property News International,T3,,,,,1,2025-07-19,2025-07-19
RBC Ukraine,T3,,,,,1,2026-03-06,2026-03-06
REM TImes,T3,,,,,1,2025-05-23,2025-05-23
RISmedia,T3,,,,,1,2025-10-15,2025-10-15
RU News24 (Russia),T3,Russia,,,,1,2023-05-03,2023-05-03
Radio Eye,T2,,,,,1,2021-11-06,2021-11-06
Reality Titbit,T3,,,,,1,2022-05-31,2022-05-31
Realty Plus,T3,,,,,1,2024-10-21,2024-10-21
Realty.com (Economic Times),T2,Economic Times,,,,1,2026-04-24,2026-04-24
Republica.com,T2,,,,,1,2026-04-07,2026-04-07
Reuters YT,T1-Global,,,,,1,2023-06-19,2023-06-19
Rossa Prima (Russia),T3,Russia,,,,1,2023-07-09,2023-07-09
Russian Emirate (Russia),T3,Russia,,,,1,2022-10-26,2022-10-26
SME,Other,,,,,1,2020-09-15,2020-09-15
Saltwire (US),T3,,,,,1,2023-06-19,2023-06-19
Samaa,T3,,,,,1,2023-01-16,2023-01-16
Shortlist Dubai,T3,,,,,1,2022-08-27,2022-08-27
Sindobatam (Indonasia),T3,Indonasia,,,,1,2022-08-09,2022-08-09
Skift,T2,,,,,1,2023-10-16,2023-10-16
Springfiled properties,T3,,,,,1,2021-04-22,2021-04-22
Tagblatt (Swiss-German),T1-Global,Swiss-German,,,,1,2023-06-28,2023-06-28
The Arabian Business Gulf Insight,T2,,,,,1,2022-11-11,2022-11-11
The Arucas Gazette,T3,,,,,1,2023-11-16,2023-11-16
The Cradle,T3,,,,,1,2023-05-25,2023-05-25
The Daily Star (China),T3,China,,,,1,2023-06-20,2023-06-20
The Digital Journal,T2,,,,,1,2023-06-08,2023-06-08
The DoGoodPress,T3,,,,,1,2023-02-03,2023-02-03
The Eastern Herald (India),T3,India,,,,1,2024-03-13,2024-03-13
The Economic Times (India),T3,India,,,,1,2023-11-14,2023-11-14
The Edge Malaysia,T3,,,,,1,2024-01-26,2024-01-26
The GIOI & Vietnam (Vietnam),T3,Vietnam,,,,1,2022-11-14,2022-11-14
The Independant (Spain),T3,Spain,,,,1,2023-02-20,2023-02-20
The Indian Express (India),T3,India,,,,1,2023-03-14,2023-03-14
The Latest News (Germany),T3,Germany,,,,1,2022-08-16,2022-08-16
The Manila Times,T3,,,,,1,2025-10-22,2025-10-22
The National (Online+Print),T2,,,9300,200000,1,2024-06-07,2024-06-07
The New Arab,T3,,,,,1,2022-06-12,2022-06-12
The New York Times,T1-Global,,,,,1,2023-03-20,2023-03-20
The News International,T3,,,,,1,2022-07-30,2022-07-30
The Print,T3,,,,,1,2023-11-12,2023-11-12
The Siasat Daily,T3,,,,,1,2024-04-10,2024-04-10
The Times of India,T3,,,,,1,2026-03-06,2026-03-06
The Wall,T3,,,,,1,2021-11-08,2021-11-08
The Wall Street Journal,T1-Global,,,,,1,2023-08-21,2023-08-21
The Washington Post (US),T3,,,,,1,2022-11-17,2022-11-17
The finance 360,T3,,,,,1,2025-12-04,2025-12-04
Time Bulletin,T3,,,,,1,2023-12-12,2023-12-12
Times Now (India),T3,India,,,,1,2024-02-05,2024-02-05
Times of india,T3,,,,,1,2025-10-26,2025-10-26
Titulares (Spain),T3,Spain,,,,1,2023-01-16,2023-01-16
Trade View,T3,,,,,1,2025-11-14,2025-11-14
Travel and Tour World,T3,,,,,1,2025-01-11,2025-01-11
Tycoon Story,T3,,,,,1,2025-05-14,2025-05-14
UKR Haber (Turkey),T3,Turkey,,,,1,2023-01-19,2023-01-19
UniverseNews Network,T3,,,,,1,2022-05-12,2022-05-12
Uppersetup,T3,,,,,1,2025-05-16,2025-05-16
VC (Russia),T3,Russia,,,,1,2023-11-24,2023-11-24
VOA News,T3,,,,,1,2023-02-13,2023-02-13
Vedomosti (Russia),T3,Russia,,,,1,2023-11-07,2023-11-07
Vietnam Bizz (Vietnam),T3,Vietnam,,,,1,2023-02-23,2023-02-23
Vietnam Net (Vietnam),T3,Vietnam,,,,1,2023-09-23,2023-09-23
WAM (China),T3,China,,,,1,2023-09-22,2023-09-22
WAM (English),T3,English,,,,1,2023-09-25,2023-09-25
WAM (Turkish),T3,Turkish,,,,1,2023-09-23,2023-09-23
Watson (France),T3,France,,,,1,2023-07-29,2023-07-29
Whats On Dubai,T2,,,,,1,2022-11-08,2022-11-08
Which School Advisor,T3,,,,,1,2025-06-09,2025-06-09
World Arabia,T3,,,,,1,2024-11-17,2024-11-17
Yahoo! Finance,T3,,,,,1,2025-09-11,2025-09-11
Zaman (Turkey),T3,Turkey,,,,1,2023-02-23,2023-02-23
Zawya YouTube,T2,,,,,1,2022-11-25,2022-11-25
Ziare (Romania),T3,Romania,,,,1,2023-04-15,2023-04-15
Ziarul Fanance (Romania),T3,Romania,,,,1,2022-11-09,2022-11-09
Ziarul National (Romania),T3,Romania,,,,1,2023-01-19,2023-01-19
Zone Bourse (France),T3,France,,,,1,2023-01-15,2023-01-15
barchart,T3,,,,,1,2025-10-22,2025-10-22
builtenvironmentme,T2,,,,,1,2025-05-13,2025-05-13
bwhindi.com,T3,,,,,1,2023-11-27,2023-11-27
dxboffplan.com,T2,,,,,1,2024-12-07,2024-12-07
egyeconomy,T3,,,,,1,2025-10-28,2025-10-28
https://nabd-alhadath.com/,T3,,,,,1,2025-10-28,2025-10-28
mid east info,T3,,,,,1,2025-01-23,2025-01-23
minfin.com.ua - Ukraine,T3,,,,,1,2024-01-16,2024-01-16
news.eseuro,T3,,,,,1,2023-12-10,2023-12-10
propertynews.ae,T3,,,,,1,2024-12-07,2024-12-07
ryb.ru,T3,,,,,1,2023-12-05,2023-12-05
samaa.tv,T3,,,,,1,2024-03-07,2024-03-07
technical review middles east,T3,,,,,1,2025-05-29,2025-05-29
uaenews247,T2,,,,,1,2025-07-29,2025-07-29
wam.ae,T3,,,,,1,2025-09-01,2025-09-01
